service,task,quality_1_5,accuracy_1_5,russian_1_5,simplicity_1_5,speed_1_5,free_access_1_5,file_handling_1_5,sources_1_5,not_applicable_or_unchecked,notes,test_date,model_or_mode,plan
Claude,Объяснение сложной учебной темы,4,3,5,4,,,,,"speed,free_access,file_handling,sources",Полный исходный ответ не сохранён; в подтверждённой записи отмечено логическое противоречие в выводе о выручке,10.09.2026,"Claude Sonnet 5, medium effort",не указан
Gemini,Объяснение сложной учебной темы,4,4,4,4,,,,,"speed,free_access,file_handling,sources",Полный исходный ответ не сохранён; в подтверждённой записи отмечены артефакты форматирования [span_14],10.09.2026,Gemini 3.6 Flash,не указан
MiniMax,Объяснение сложной учебной темы,4,4,5,4,,,,,"speed,free_access,file_handling,sources",Полный исходный ответ не сохранён; отмечены ошибки отображения формул и отсутствие прямых ссылок на названные источники,10.09.2026,MiniMax M3,не указан
Claude,Создание конспекта,5,5,5,5,4,,,,"free_access,file_handling,sources","Сохранены три уровня решений, причинно-следственные связи и 5 вопросов; ответ получен примерно за 40–50 секунд",12.09.2026,"Claude Sonnet 5, medium effort",не указан
Gemini,Создание конспекта,5,4,5,5,5,,,,"free_access,file_handling,sources","Структура полная и ответ быстрый; добавлены отдельные поясняющие формулировки, поэтому точность оценена ниже максимальной; около 5–10 секунд",12.09.2026,Gemini 3.8 Flash,не указан
MiniMax,Создание конспекта,5,5,5,5,4,,,,"free_access,file_handling,sources","Сохранены три уровня решений, связи и 5 вопросов с опорой на текст; ответ получен примерно за 32 секунды; поздний идентичный ответ не учитывался повторно",12.09.2026,MiniMax M3,не указан
Claude,Поиск информации с источниками,4,4,5,5,4,,,4,"free_access,file_handling","5 ссылок; 4 источника подтверждены напрямую или через официальный материал, Gartner приведён через PT Security, ЦИПР является вторичной компиляцией; ответ получен примерно за 1 минуту",12.09.2026,Claude Sonnet 5,не указан
Gemini,Поиск информации с источниками,3,2,5,5,5,,,3,"free_access,file_handling","5 позиций; McKinsey, Springer и HBR подтверждены, но Gartner-ссылка относится к блогу Microsoft о выпуске 2026 года, Audible ведёт на карточку аудиокниги; тезис McKinsey про 60–70% сформулирован слишком узко; ответ получен примерно за 15 секунд",12.09.2026,Gemini 3.8 Flash,не указан
MiniMax,Поиск информации с источниками,4,4,5,4,4,,,4,"free_access,file_handling","5 источников; ключевые ссылки McKinsey, Gartner, Deloitte и HBR подтверждены, но DOI 10.1080/23311916.2024.2380344 относится к Cogent Engineering, а не Cogent Business & Management; ответ получен примерно за 1 минуту",12.09.2026,MiniMax M3,не указан
Claude,Подготовка структуры презентации,5,4,5,5,4,,,,"free_access,file_handling,sources","Даны 8 слайдов, для каждого — 2–4 пункта и идея визуала; структура пригодна как каркас, но конкретный кейс и числовой результат оставлены неопределёнными; ответ получен примерно за 30 секунд",14.09.2026,"Claude Sonnet 5, medium effort",free
Gemini,Подготовка структуры презентации,4,3,4,4,4,,,,"free_access,file_handling,sources","Даны 8 слайдов с пунктами и визуальными идеями; есть неподтверждённые точные показатели (100%, 88%, 75%) и слишком широкие формулировки об объективности и достигнутых эффектах; ответ получен примерно за 30 секунд",14.09.2026,Gemini 3.8 Flash,бесплатный
MiniMax,Подготовка структуры презентации,5,3,5,5,5,,,,"free_access,file_handling,sources","Даны 8 слайдов, для каждого есть 2–4 пункта и визуальная идея; структура практичная и ориентирована на бизнес-сценарии, но числовые кейсы (30%, 80%, 5→2 дня, 18%, 4 раза) не подтверждены источниками; в двух местах нарушено оформление пробела/переноса",14.09.2026,MiniMax M3,бесплатный
ChatGPT,Объяснение сложной учебной темы,5,5,5,,4,,,,"simplicity,free_access,file_handling,sources","Полный ответ сохранён как транскрипция со скриншотов: определение, формула, расшифровка обозначений, числовой пример, практический смысл и 3 типичные ошибки выполнены; около 45 секунд; удобство интерфейса отдельно не оценивалось",14.09.2026,"gpt 5.6 sol, средний",plus
ChatGPT,Создание конспекта,5,5,5,,5,,,,"simplicity,free_access,file_handling,sources","Сохранены все три уровня решений, нужные типы данных, причинно-следственные связи, термины и 5 вопросов с привязкой к фрагментам; существенных добавлений и искажений не выявлено; около 15 секунд",14.09.2026,"gpt 5.6 sol, средний",plus
ChatGPT,Поиск информации с источниками,5,4,5,5,4,,,4,"free_access,file_handling","Даны 5 проверяемых источников; названия, авторы/организации, даты и заявленные идеи подтверждены, но Microsoft-материал частично проверялся через официальный поиск/альтернативные страницы из-за Cloudflare, а научные страницы ScienceDirect местами ограничивали прямой доступ; около 35–45 секунд",14.09.2026,"gpt 5.6 sol, средний",plus
ChatGPT,Подготовка структуры презентации,5,5,5,5,5,,,,"free_access,file_handling,sources","Даны ровно 8 слайдов, для каждого указаны заголовок, 2–4 ключевых пункта и идея визуального материала; неподтверждённых числовых кейсов нет; около 30 секунд",14.09.2026,"gpt 5.6 sol, средний",plus
Claude,Проверка и улучшение текста,5,5,5,,5,,,,"simplicity,free_access,file_handling,sources","Выявлены все контрольные точки: неподтверждённые 50%, ошибка причинности, проблема качества CRM-данных, две грамматические ошибки и категоричная стилистика; улучшенная версия не выдала предположения за факты; около 15 секунд",15.09.2026,Claude Sonnet 5,не указан
Gemini,Проверка и улучшение текста,4,4,4,,5,,,,"simplicity,free_access,file_handling,sources","Выявлены ключевые логические, грамматические и стилистические проблемы; не выделена отдельно неподтверждённая «супер-эффективность», а в анализ и редактуру добавлены не отмеченные как новые детали о пилоте и факторном анализе; около 5 секунд",15.09.2026,Gemini 3.8 Flash,free
MiniMax,Проверка и улучшение текста,4,3,5,,4,,,,"simplicity,free_access,file_handling,sources","Выявлены основные содержательные риски и дана пригодная редактура, но пропущена ошибка «Данные анализировалось»; добавлены и не отмечены как новые сведения о пилотировании, несмотря на заявление об отсутствии новых фактов; около 45 секунд",15.09.2026,MiniMax M3,бесплатный
